40	数列 リスト 折れ線 グラフ 描画 し その 色 カラー コード セット する	plt.plot(xdata, ydata, color=rgb)
41	イテラブル イミュータブル な 集合 する	frozenset(iterable)
42	データ フレーム 列 集計 し それぞれ グループ 毎 分散 計算 する	df.groupby(column).var()
43	散布 図 カラー コード マーカー 用いる	plt.plot(xdata, ydata, marker='^', c=rgb)
44	データ フレーム 列 各 データ 何 回 出現 する 見る	df[col].value_counts()
45	折れ線 グラフ 丸 マーカー 青く する	plt.plot(データ列, データ列2, marker='o', markerfacecolor='b')
46	データ 列 どの 程度 分散 し いる 確認 する	ds.var()
47	ファイル パス 文字 列 示す エン コーディング 書き込み 用 オープン する	open(filepath, mode='w', encoding=s)
48	ヒストグラム 色 ライト イエロー 設定 する	plt.hist(データ列, color='lightyellow')
49	データ 列 欠損 値 パーセンタイル 埋める	ds.fillna(ds.median())
50	黒い バツ マーカー リスト データ 列 散布 図 描画 する	plt.plot(xdata, ydata, marker='x', c='k')
51	オプション グラフ 色 ダークターコイズ する	color = 'darkturquoise'
52	折れ線 グラフ 描画 し その 色 ダーク オレンジ 設定 する	plt.plot(データ列, データ列2, color='darkorange')
53	ヒストグラム 描画 し 色 ダークオーキッド 設定 する	plt.hist(データ列, color='darkorchid')
54	折れ線 グラフ スタイル 一 点 鎖線 設定 する	plt.plot(データ列, データ列2, linestyle='dashbot')
55	データ フレーム 先頭 行 抽出 する	df.head(n)
56	データ フレーム 中 列 ビン 数 用い ビン 分割 し ラベル つける	pd.cut(df[col], n, labels=names)
57	赤色 右 三 角 マーカー データ 列 イテラブル 散布 図 描く	plt.plot(xdata, ydata, marker='>', c='r')
58	リスト リスト 加え 拡張 する	aList.extend(aList2)
59	線 グラフ 色 アリスブルー 設定 する	plt.plot(データ列, データ列2, color='aliceblue')
60	配列 列方向 連結 する	np.concatenate([aArray, aArray2], axis=0)
61	赤い ポイント マーカー 折れ線 グラフ 描画 する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='r')
62	集合 イミュータブル 変換 する	frozenset(aSet)
63	配列 行 ごと 最大 値	np.max(aArray, axis=1)
64	プラットホーム ウィンドウズ	sys.platform.startswith('win32')
65	空 両端 キュー	collections.deque()
66	辞書 項目 名 値 エラー なく 参照 する	aDict.get(key, None)
67	データ 列 リスト 散布 図 描画 し マーカー 設定 する	plt.plot(xdata, ydata, marker='^')
68	折れ線 グラフ 右 三 角 印 赤く する	plt.plot(データ列, データ列2, marker='>', markerfacecolor='r')
69	配列 リスト 散布 図 カラー コード 丸 マーカー 描画 する	plt.plot(xdata, ydata, marker='o', c=rgb)
70	オブジェクト メモリビュー	memoryview(obj)
71	折れ線 グラフ 描画 し その 色 ダーク ブルー 設定 する	plt.plot(データ列, データ列2, color='darkblue')
72	日付 データ 木曜日 どう 調べる	aDate.weekday() == 3
73	文字 列 先頭 余分 な 空白 取り除く	s.lstrip()
74	実数 数 除する	x / y
75	データ フレーム 重複 する 行 残さ ず 消す	df.drop_duplicates(keep=False)
76	カウンタ 同士 交わり 求める	aCounter & aCounter2
77	多い 順番 カウンタ 列挙 する	aCounter.most_common()
78	リスト ヒストグラム 使っ 可視 化 する	plt.hist(aList)
79	二つ 文字 列 タブ 区切っ プリント する	print(value, value2, sep='\t')
80	リスト 配列 散布 図 描画 する	plt.scatter(xdata, ydata)
81	カラー コード 星 マーカー 用い 散布 図 描画 する	plt.plot(xdata, ydata, marker='*', c=rgb)
82	黒い 上 三 角 マーカー 散布 図 描画 する	plt.plot(xdata, ydata, marker='^', c='k')
83	データ フレーム 名前 リスト 指定 さ れ た 列 削除 する	df.drop(columns, axis=1)
84	プロット 色 全般 的 色 差別 なく する	sns.set(pallete='colorblind')
85	データ 列 最大 値 埋める	ds.fillna(ds.max())
86	二つ 辞書 階層 化 する	collections.ChainMap(aDict, aDict2)
87	整数 リスト どれ	n in aList
88	リスト 数列 色 差別 ない グラフ 描画 し その 線 幅 変更 する	plt.plot(xdata, ydata, linestyle='colorblind', color='r')
89	リスト イテラブル ペア リスト 変換 する	itertools.zip_longest(iterable, iterable2)
90	データ フレーム リスト カラム 位 丸め 整数 型 する	df[aList].round(-1).astype(int)
91	ベクトル 次元 数	aArray.ndim
92	分子 分母 有理数 作る	fractions.Fraction(numerator=n, denominator=m)
93	大きい テスト する	n > n2
94	リスト 文字 列 リスト 変換 し 空白 連結 する	' '.join(map(str, iterable))
95	データ 列 データ 列 破線 描画 し その 色 暗い 指定 する	plt.plot(xdata, ydata, linestyle='dash', color='dark')
96	辞書 チェーン マップ 変換 する	collections.ChainMap(aDict)
97	ヒストグラム 描画 し 色 マゼンタ 設定 する	plt.hist(データ列, color='magenta')
98	カラム 各 データ 値 出現 回数 求める	df[col].value_counts()
99	リスト リスト 破線 グラフ 描画 し その 色 淡い 設定 する	plt.plot(xdata, ydata, linestyle='dash', color='muted')
100	数列 リスト 明るい グラフ 描画 し 線 幅 する	plt.plot(xdata, ydata, linestyle='bright', color='r')
101	グラフ パレット 全般 的 淡く する	sns.set(pallete='muted')
102	折れ線 グラフ 描画 し その 色 ライト サーモン 設定 する	plt.plot(データ列, データ列2, color='lightsalmon')
103	折れ線 グラフ 三角 印 線 幅 変更 する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
104	文字 列 改行 分割 し 文字 列 リスト 変換 する	s.splitlines()
105	文字 列 先頭 使う	s[0]
106	文字 列 全体 大文字 小文字 無視 し 正規 表現 マッチ さ せる	re.fullmatch(pattern, s, flags=re.IGNORECASE)
107	ヒストグラム 色 スカイ ブルー 設定 する	plt.hist(データ列, color='skyblue')
108	折れ線 グラフ 描画 し 色 カデット ブルー 設定 する	plt.plot(データ列, データ列2, color='cadetblue')
109	ヒストグラム 描画 し その 色 ライト コーラル する	plt.hist(データ列, color='lightcoral')
110	行列 間 要素 ごと 最大公約数	np.gcd(aArray, aArray2)
111	折れ線 グラフ 色 ホワイト 指定 する	plt.plot(データ列, データ列2, color='white')
112	オプション タブ 区切り 使用 する	sep = '\t'
113	折れ線 グラフ 色 ライトグリーン 設定 する	plt.plot(データ列, データ列2, color='lightgreen')
114	ヒストグラム 色 オレンジ 設定 する	plt.hist(データ列, color='orange')
115	小さい 順 データ フレーム 列 列 用い ソート し 更新 する	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
116	データ フレーム 列 要約 統計 量	df[col].describe()
117	オプション ディープスカイブルー グラフ 色 指定 する	color = 'deepskyblue'
118	色 差別 ない 色 折れ線 グラフ 描画 し その 線 幅 設定 する	plt.plot(xdata, ydata, linewidth=n, color='colorblind')
119	グラフ 描画 淡い 色 使う	sns.set(pallete='muted')
120	ミディアムオーキッド 色 ヒストグラム 描画 する	plt.hist(データ列, color='mediumorchid')
121	真紅 色 ヒストグラム 描画 する	plt.hist(データ列, color='crimson')
122	散布 図 赤色 大 バツ マーカー 用いる	plt.plot(xdata, ydata, marker='X', c='r')
123	グラフ カラー パレット 淡く する	sns.set(pallete='muted')
124	もしくは 調べる	x == 1 or x == 2
125	イテラブル 重複 取り除く	set(iterable)
126	ファイル 名 ファイル 調べる	filename.endswith('.csv')
127	オプション シエナ 色 変更 する	color = 'sienna'
128	文字 列 平仮名 調べる	('ぁ' <= ch <= 'ん')
129	実行 結果 黄色 する	f'\033[33m{value}\033[0m'
130	データ フレーム 列 と列 ドロップ する	df.drop([column, column2], axis=1)
131	ヒストグラム 色 ミディアムシアグリーン 設定 する	plt.hist(データ列, color='mediumseagreen')
132	オプション グラフ 色 青 緑 設定 する	color = 'teal'
133	ヒストグラム 描画 し その 色 ダークターコイズ 指定 する	plt.hist(データ列, color='darkturquoise')
134	オプション 文字 コード 付き セット する	encoding = 'utf_8_sig'
135	パステル 調 折れ線 グラフ 色 赤色 設定 する	plt.plot(xdata, ydata, linestyle='pastel', color='r')
136	カラー コード 棒グラフ 色 設定 する	plt.bar(ラベル列, データ列, color=rgb)
137	折れ線 ラベル 付ける	plt.plot(xdata, ydata, label=untitled)
138	折れ線 グラフ 透明 度 設定 する	plt.plot(xdata, ydata, alpha=alpha)
139	二つ 関係 真 部分 集合 調べる	aSet < aSet2
140	フォーマット データ 列 日付 データ 変換 する	pd.to_datetime(ds, format=fmt)
141	文字 列 示す 文字 コード 既存 ファイル 追加 できる よう オープン する	open(filepath, mode='a', encoding=s)
142	文字 列 部分 文字 列 区切っ 文字 列 リスト する	s.split(sub)
143	カウンタ シーケンス カウント し 引く	aCounter.subtract(iterable)
144	折れ線 グラフ 描画 し 色 淡い ピンク色 設定 する	plt.plot(データ列, データ列2, color='lightpink')
145	文字 列 空白 区切っ 文字 列 リスト 変換 する	s.split()
146	折れ線 グラフ 色 グリーン 設定 する	plt.plot(データ列, データ列2, color='green')
147	赤い 淡い 描画 する	plt.plot(xdata, ydata, linestyle='muted', color='r')
148	オプション グラフ 色 チョコレート 設定 する	color = 'chocolate'
149	オプション パールバイオレットレッド 色 使う	color = 'palevioletred'
150	フォーマット データ フレーム 日付 データ 変換 する	pd.to_datetime(df[col], format=fmt)
151	ゲインズボロ 色 線 グラフ 描画 する	plt.plot(データ列, データ列2, color='gainsboro')
152	行列 同じ 大き さ 空 行列 作成 する	np.empty_like(aArray)
153	二つ 文字 列 文字 列 区切っ プリント する	print(value, value2, sep=s)
154	淡い グラフ 線 幅 設定 する	plt.plot(xdata, ydata, linestyle='muted', linewidth=n)
155	データ フレーム ランダム 一行 取り出す	df.sample()
156	非 小文字 文字 列 中 含ま れる	any(not c.islower() for c in s)
157	ヒストグラム 描画 し その 色 ホット ピンク 設定 する	plt.hist(データ列, color='hotpink')
158	文字 列 全て 英数字 確認 する	s.isalnum()
159	折れ線 グラフ 描画 し その 色 ライト コーラル 設定 する	plt.plot(データ列, データ列2, color='lightcoral')
160	リスト 配列 散布 図 黒い 左 三 角 マーカー 描く	plt.plot(xdata, ydata, marker='<', c='k')
161	データ フレーム 二つ 列 値 グループ 化 する	df.groupby(['A', 'B'])
162	深紅 色 線 グラフ 描画 する	plt.plot(データ列, データ列2, color='crimson')
163	モジュール 検索 する パス	sys.path
164	線 グラフ 描画 し 色 サーモン セット する	plt.plot(データ列, データ列2, color='salmon')
165	ヒストグラム 色 ミディアムブルー 設定 する	plt.hist(データ列, color='mediumblue')
166	オプション グラフ 色 ダークシアグリーン 変更 する	color = 'darkseagreen'
167	ミディアムパープル 色 ヒストグラム 描画 する	plt.hist(データ列, color='mediumpurple')
168	ふたつ 関係 真 サブ セット どう	aSet < aSet2
169	文字 列 走査 し 正規 表現 大文字 小文字 無視 し マッチ する 見る	re.search(pattern, s, flags=re.IGNORECASE)
170	データ フレーム 列 各 データ 値 出現 回数 求める	df[col].value_counts()
171	データ フレーム 中 列 と列 重複 あれ 削除 する	df.drop_duplicates(subset=[column, column2])
172	プロット 描画 パステル 調 色 用いる	sns.set(pallete='pastel')
173	赤い 大 バツ マーカー リスト イテラブル 散布 図 描画 する	plt.plot(xdata, ydata, marker='X', c='r')
174	データ 列 十 位 四捨五入 する	ds.round(-1)
175	データ 列 値 変更 する	ds.replace(ValueMap)
176	標準 入力 行 読み込む	sys.stdin.readline()
177	折れ線 グラフ 描画 し その 色 ミディアムパープル 設定 する	plt.plot(データ列, データ列2, color='mediumpurple')
178	オプション 区切り 使わ ない	sep = ''
179	データ フレーム 読む	pd.read_csv(filename, sep='\t', encoding='shift_jis')
180	データ フレーム カラム 未 入力 値 最小 値 置換 する	df[col].fillna(df[col].min())
181	文字 列 部分 文字 列 終了 する 調べる	s.endswith(sub)
182	リスト リスト 破線 グラフ 描画 し その 色 パステル 調 の 設定 する	plt.plot(xdata, ydata, linestyle='dash', color='pastel')
183	ヒストグラム 色 ライト シアン 変更 する	plt.hist(データ列, color='lightcyan')
184	データ 列 未 入力 値 平均 値 埋める	ds.fillna(ds.mean())
185	データ フレーム 各 次元 大き さ 調べる	df.shape
186	列 累積 し た 列	itertools.accumulate(iterable, operator.mul)
187	グラフ 中 日本語 フォント 利用 可能 する	sns.set(font='IPAexGothic')
188	リスト 一つ 調べる	n in aList
189	文字 列 文字 列 リスト いづれ 調べる	s in aStringList
190	等しい	n == n2
191	折れ線 グラフ 描画 し 色 ダークオーキッド 指定 する	plt.plot(データ列, データ列2, color='darkorchid')
192	データ フレーム カラム 空文字 ドロップ する	df[col].replace('', np.nan).dropna()
193	オブジェクト フィールド 存在 する 確認 する	hasattr(obj, プロパティ名)
194	オプション グラフ 色 ミッドナイト ブルー 指定 する	color = 'midnightblue'
195	オプション シャルトリューズ 色 使う	color = 'chartreuse'
196	複数 行 対応 パターン 文字 列 先頭 マッチ さ せる	re.match(pattern, s, flags=re.MULTILINE)
197	データ フレーム 形式 ファイル 読み込む	pd.read_csv(filename, sep='\t', encoding='utf-8')
198	プログラム 実行 異常 終了 する	sys.exit(1)
199	小数点 数	math.cos(x)
200	ダークゴールデンロッド ヒストグラム 色 設定 する	plt.hist(データ列, color='darkgoldenrod')
201	カーキ 色 ヒストグラム 描画 する	plt.hist(データ列, color='khaki')
202	ヒストグラム 色 ダーク グレー 変更 する	plt.hist(データ列, color='darkgray')
203	データ 列 未 入力 値 最大 値 設定 する	ds.fillna(ds.max())
204	データ 列 欠損 値 中央 値 埋める	ds.fillna(ds.median())
205	真 なら ない シーケンス 要素	itertools.dropwhile(predicateFunc, iterable)
206	折れ線 グラフ 描画 し その 色 ライト ブルー 設定 する	plt.plot(データ列, データ列2, color='lightblue')
207	オプション グラフ 色 タン 設定 する	color = 'tan'
208	日付 データ 火曜日 調べる	aDate.weekday() == 1
209	折れ線 グラフ 左 三 角 マーカー 黄色く する	plt.plot(データ列, データ列2, marker='<', markerfacecolor='y')
210	文字 列 両端 空白 取り除く	s.strip()
211	カウンタ 全数	aCounter.total()
212	ヒストグラム 描画 し その 色 ライム グリーン 変更 する	plt.hist(データ列, color='limegreen')
213	既存 配列 ベース し 全 要素 初期 値 配列 作成 する	np.full_like(aArray, 初期値)
214	オプション トマト 使用 する	color = 'tomato'
215	文字 列 赤色 プリント できる 文字 列 変換 する	f'\033[31m{value}\033[0m'
216	二つ データ フレーム 縦 一つ する	pd.concat([df, df2], axis=0)
217	二つ 変数 順に プリント する	print(value, value2)
218	データ フレーム 型 取り出す	df.select_dtypes(ty)
219	データ 列 中央 値 ビンニング する	pd.qcut(ds, 2)
220	コマンド 引数 列挙 する	sys.argv[1:]
221	リスト 末尾 要素 取り除く	aList.pop()
222	明るい グラフ 数列 データ 列 プロット し その 線 幅 設定 する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
223	オプション 線 種 破線 変更 する	linestyle = 'dashed'
224	三 ビット 整数 型 ゼロ 埋め さ れ た 配列 作る	np.zeros(要素数, dtype=np.int16)
225	データ 列 データ 列 散布 図 描画 し 右 三 角 マーカー 色 カラー コード 設定 する	plt.plot(xdata, ydata, marker='>', c=rgb)
226	倍数	n % 5 == 0
227	オプション グラフ 色 ミディアムシアグリーン 設定 する	color = 'mediumseagreen'
228	和	n + n2
229	キュー 空	len(deq) == 0
230	データ フレーム 列 位 四捨五入 する	df[col].round(-2)
231	文字 列 黄色 プリント できる 文字 列 変換 する	f'\033[33m{value}\033[0m'
232	折れ線 グラフ 描画 し 印 印 する	plt.plot(データ列, データ列2, marker='^')
233	ヒストグラム 描画 し その 色 ダーク オリーブ グリーン 設定 する	plt.hist(データ列, color='darkolivegreen')
234	重複 し た 行 抽出 する	df[df.duplicated(keep=False)]
235	文字 列 タプル 要素 で ない 調べる	element not in aTuple
236	ヒストグラム 色 パールゴールデンロッド 変更 する	plt.hist(データ列, color='palegoldenrod')
237	散布 図 赤い 下 三角 マーカー 描画 する	plt.plot(xdata, ydata, marker='v', c='r')
238	カウンタ 最 頻出 な 値	aCounter.most_common()[0]
239	文字 列 全て 大文字	s.isupper()
240	スノー 色 線 グラフ 描画 する	plt.plot(データ列, データ列2, color='snow')
241	ヒストグラム 描画 し その 色 イエロー グリーン 設定 する	plt.hist(データ列, color='yellowgreen')
242	データ 列 何 曜日 見る	ds.dt.weekday_name
243	値 太字 プリント する	print(f'\033[1m{value}\033[0m')
244	集合 全て 要素 取り除く	aSet.clear()
245	ヒストグラム 描画 し 色 ライトグリーン 指定 する	plt.hist(データ列, color='lightseagreen')
246	改行 文字 列 区切り 文字 列 リスト 変換 する	s.splitlines()
247	最大 長 双方向 キュー 作る	collections.deque(maxlen=n)
248	データ フレーム 列 正規 表現 まとめ 置き換える	df[col].replace(pattern, repl, regex=True)
249	複数 カラム 散布 図 一 度 描画 する	sns.pairplot(df[[column, column2, column3]])
250	文字 列 正規 表現 マッチ さ せる	re.match(pattern, s)
251	折れ線 グラフ 赤い 三角 マーカー 描画 する	plt.plot(データ列, データ列2, marker='^', markerfacecolor='r')
252	折れ線 グラフ 印 大 バツ する	plt.plot(データ列, データ列2, marker='X')
253	折れ線 グラフ 描画 し その 色 コーンズシルク 指定 する	plt.plot(データ列, データ列2, color='cornsilk')
254	ヒストグラム 描画 し 色 ダーク サーモン する	plt.hist(データ列, color='darksalmon')
255	日付 時刻 データ 時間 減算 する	aDatetime - datetime.timedelta(hours=n)
256	自分 自身 モジュール	sys.modules[__name__]
257	文字 列 開始 位置 終了 位置 範囲 部分 文字 列 含ま れる 調べる	s.find(sub, start, end) != -1
258	文字 列 中 大文字 小文字 する	s.lower()
259	線 グラフ 描画 し 色 オリベドラブ 設定 する	plt.plot(データ列, データ列2, color='olivedrab')
260	折れ線 グラフ 色 パープル 変更 する	plt.plot(データ列, データ列2, color='purple')
261	ファイル 存在 する	os.path.exists(filepath)
262	データ フレーム カラム 何 分 確認 する	df[col].dt.minute
263	等しい 値	None
264	小数点 数 二 進 対数	math.log2(x)
265	数列 座標 数列 横 軸 指定 し 折れ線 グラフ プロット する	plt.plot(xdata, ydata)
266	実数 乗 求める	x ** n
267	実数 斜辺	math.hypot(x, y)
268	リスト リスト 濃い グラフ 描画 し その 線 幅 設定 する	plt.plot(xdata, ydata, linestyle='deep', linewidth=n)
269	データ フレーム カラム 分 位 数	df[col].quantile(percent/100)
270	データ 列 折れ線 グラフ 描画 し 印 四角 する	plt.plot(データ列, データ列2, marker='s')
271	折れ線 グラフ 描画 し その 色 トマト 変更 する	plt.plot(データ列, データ列2, color='tomato')
272	集合 更新 不能 な 集合 変換 する	frozenset(aSet)
273	ヒストグラム 描画 し その 色 ミディアムブルー する	plt.hist(データ列, color='mediumblue')
274	ファイル ファイル 名 調べる	filename.endswith('.json')
275	オプション グラフ 色 インディゴ 設定 する	color = 'indigo'
276	第 引数 ファイル 名前	sys.argv[1]
277	折れ線 グラフ 描画 し その 色 レベッカパープル 設定 する	plt.plot(データ列, データ列2, color='rebeccapurple')
278	タイム スタンプ 使う	import time
279	個 整数 リスト	list(range(n))
280	ヒストグラム 描画 し その 色 サンディーブラウン 設定 する	plt.hist(データ列, color='sandybrown')
281	要素 辞書 値 含ま れ い ない	element not in aDict.values()
282	データ フレーム 各 グループ 標準 偏差	df.groupby(column).std()
283	線 グラフ 描画 し 色 ディムグレー 設定 する	plt.plot(データ列, データ列2, color='dimgray')
284	折れ線 グラフ 描画 し 色 ダーク グレー 指定 する	plt.plot(データ列, データ列2, color='darkgray')
285	折れ線 グラフ 色 タン セット する	plt.plot(データ列, データ列2, color='tan')
286	文字 列 中 ケース 無視 し パターン 全て マッチ 求める	re.findall(pattern, s, flags=re.IGNORECASE)
287	オプション 文字 コード 使う	encoding = text
288	データ フレーム 中 存在 する 日付 データ 文字 列 合計 数える	df.isin([value, value2]).sum()
289	データ フレーム 中 列 と列 重複 あれ 取り除く	df.drop_duplicates(subset=column)
290	エポック 秒 データ 列 日付 データ 変換 する	pd.to_datetime(ds, unit='s', utc=True)
291	タプル 最後 番目 以前 部分 取り出す	aTuple[:-n]
292	変数 マイナス 無限 大 近づく 場合 数式 極限 値 算出 する	sympy.limit(e, z, -oo)
293	ファイル バイナリ 用 オープン し する	f = open(filepath, mode='rb')
294	文字 列 末尾 タブ 消す	s.rstrip('\t')
295	文字 列 右側 空白 取り除く	s.rstrip(' ')
296	タプル 反転 する	reversed(aTuple)
297	プロット 凡例 位置 指定 する	plt.legend(loc=(x, y))
298	明るい 折れ線 線 幅 変更 する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
299	データ 列 中 存在 する 文字 列 合計 求める	ds.isin([value]).sum()
300	データ フレーム 列 並べ 先頭 来る よう する	df.sort_values(by='A', na_position='first')
301	折れ線 グラフ マーカー 印 する	plt.plot(データ列, データ列2, marker='v')
302	セット エラー なく 要素 取り除く	aSet.discard(element)
303	ヒストグラム 描画 し 色 ダークスラテグレー 設定 する	plt.hist(データ列, color='darkslategray')
304	イテラブル 新しい カウンタ 作成 する	collections.Counter(iterable)
305	オプション 暗い 赤色 使う	color = 'darkred'
306	オプション スレート ブルー グラフ 色 設定 する	color = 'slateblue'
307	文字 列 白色 プリント する	print(f'\033[37m{value}\033[0m')
308	データ フレーム カラム 何 曜日 見る	df[col].dt.weekday_name
309	グラフ パステル 調 する	sns.set(pallete='pastel')
310	ヒストグラム 色 ダーク グレー 設定 する	plt.hist(データ列, color='darkgray')
311	データ フレーム リスト 列 欠損 値 最小 値 変更 する	df[aList].fillna(df[aList].min())
312	リスト 横 軸 指定 し 折れ線 グラフ 描画 する	plt.plot(range(len(xdata)), xdata)
313	列 等量 個 ビニング する	pd.qcut(ds, n)
314	データ フレーム 各 列 毎 グループ 化 し 文字 列 グループ 個数 求める	df.groupby(column).size()[s]
315	データ フレーム 値 正規 表現 変更 する	df.replace(pattern, repl, regex=True)
316	ガンマ 関数 値	math.gamma(x)
317	折れ線 グラフ 色 シャルトリューズ 指定 する	plt.plot(データ列, データ列2, color='chartreuse')
318	シーケンス イミュータブル な セット	frozenset(iterable)
319	オプション エン コーディング 設定 する	encoding = 'shift_jis'
320	データ フレーム 列 集計 し 分散 求める	df.groupby(column).var()
321	線 グラフ 描画 し その 色 スラグレー 設定 する	plt.plot(データ列, データ列2, color='slategrey')
322	文字 列 空白 文字	s.isspace()
323	文字 列 太 文字 プリント できる 文字 列 する	f'\033[1m{value}\033[0m'
324	配列 次元 行 変形 する	aArray.reshape(1, -1)
325	折れ線 グラフ 描画 し その 色 ライトグリーン 設定 する	plt.plot(データ列, データ列2, color='lightgreen')
326	オプション スチール ブルー 色 使う	color = 'steelblue'
327	パステル 調 色 マーカー 散布 図 描画 する	plt.plot(xdata, ydata, c='pastel')
328	オプション ダーク カーキ 色 使用 する	color = 'darkkhaki'
329	折れ線 グラフ 色 グレー 設定 する	plt.plot(データ列, データ列2, color='grey')
330	こんにちは 世界 出力 する	print('Hello World')
331	小さい	n < n2
332	データ 列 リスト 散布 図 描画 し ダイアモンドマーカー 色 カラー コード 変更 する	plt.plot(xdata, ydata, marker='D', c=rgb)
333	日付 データ 週間 分 減算 する	aDate - datetime.timedelta(weeks=n)
334	集合 別 集合 要素 全て 取り除く	aSet.difference_update(aSet2)
335	データ 列 未 入力 値 直後 値 指定 する	ds.fillna(method='bfill')
336	日付 データ 日 分 加算 する	aDate + datetime.timedelta(days=n)
337	カウンタ 値 増やす	aCounter[element] += 1
338	棒グラフ 積み上げ する	"plt.bar(ラベル列, データ列, bottom=データ列2, color=""red"")"
339	項目 名 マップ 存在 し ない 時 要素 追加 する	aDict.setdefault(key, element)
340	アリス ブルー ヒストグラム 色 する	plt.hist(データ列, color='aliceblue')
341	散布 図 赤い 大 バツ マーカー 描く	plt.plot(xdata, ydata, marker='X', c='r')
342	変数 名 キー 辞書	dict(name=element)
343	線 グラフ 描画 し 色 コーンズシルク 変更 する	plt.plot(データ列, データ列2, color='cornsilk')
344	マップ 内部 複製 する	{k: copy.copy(v) for k, v in aDict.items()}
345	データ フレーム リスト 列 相関 行列	df[aList].corr()
346	データ フレーム 欠損 値 後 行 値 変更 する	df.fillna(method='bfill')
347	データ フレーム 列 文字 列 含ま れる 行 取り出す	df[df[column].str.contains(s)]
348	データ フレーム 各 列 列 組み合わせ 毎 グループ 化 し 最大 値 算出 する	df.groupby([column, column2], as_index=False).max()
349	折れ線 グラフ 下 三角 マーカー 緑色 する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='g')
350	小数点 数 自然 対数	math.log(x)
351	オブジェクト イテレータ	iter(obj)
352	クラス 名前 付き タプル 調べる	issubclass(C, tuple)
353	スピアマン 相関 係数 データ フレーム 相関 行列	df.corr(method='spearman')
354	折れ線 グラフ 色 ホット ピンク 設定 する	plt.plot(データ列, データ列2, color='hotpink')
355	二つ 列 値 データ フレーム グループ 化 し 列挙 する	[(name, group) for name, group in df.groupby(['A', 'B'])]
356	ヒストグラム 区間 描画 する	plt.hist(データ列, range=(start, end))
357	ファイル バイナリ モード オープン する	open(filepath, mode='rb')
